Treatment,DeltaP,DeltaB,DeltaT,Mechanism,PrimaryTargets
Antipsychotics,-2.5,0.0,0.0,"D2 antagonism reduces aberrant salience/precision","Schizophrenia; mania; psychosis"
Stimulants,2.0,0.0,-0.5,"DA/NE boost increases task precision and improves salience selection","ADHD"
SSRIs,0.5,0.5,0.5,"Serotonergic stabilization gently shifts all axes toward integration","Depression; anxiety; OCD"
Mood Stabilizers,-1.0,0.5,0.0,"Dampen oscillatory precision spikes and improve affective boundary stability","Bipolar disorder"
Benzodiazepines,-1.5,0.0,-1.0,"GABAergic dampening reduces arousal and future threat focus","Anxiety; panic"
DBT,1.0,2.0,0.0,"Mindfulness plus interpersonal effectiveness strengthens precision and boundaries","BPD"
CBT,1.0,0.0,1.0,"Recalibrates priors and improves future-oriented problem solving","Depression; anxiety; OCD"
Exposure Therapy,-1.0,0.0,-2.0,"Extinction learning reduces threat precision and releases temporal lock","PTSD; phobias; OCD"
EMDR,-1.5,0.0,-2.0,"Trauma reprocessing reduces memory precision and past lock","PTSD"
ACT,0.0,1.0,0.0,"Self-as-context strengthens observer boundary","Anxiety; depression; chronic distress"
Somatic Experiencing,-1.0,1.0,-1.5,"Body-based regulation reduces interoceptive precision and trauma time lock","PTSD; dissociation"
Social Rhythm Therapy,0.0,0.5,-1.0,"Routine stabilizes temporal/circadian rhythm","Bipolar disorder"
Mindfulness,0.5,0.5,0.5,"Improves metacognitive precision, boundary awareness, and temporal integration","BPD; ADHD; anxiety; depression"
